,X1,X2,X3,X4,X5,X6,X7,X8,Sds_Armed,Anomaly_Tag
1489,0.73583,1.2114,8.1689,2.24,0.66859,1.1026,8.6272,2.3361,1,0
1490,0.73495,1.2086,8.1729,2.2421,0.6320399999999999,1.0771,8.4365,2.3974,1,0
1491,0.73327,1.2072,8.1903,2.2437,0.55086,1.0072,8.631,2.4135,1,0
1492,0.7311,1.2064,8.2024,2.2482,0.5294,1.0068,8.4047,2.4419999999999997,1,0
1493,0.73119,1.2077,8.193999999999999,2.2507,0.5491199999999999,1.0287,7.3688,2.4426,1,0
1494,0.73107,1.2078,8.1664,2.2511,0.5088699999999999,0.9638200000000001,6.2752,2.4211,1,0
1495,0.72854,1.2054,8.1328,2.2529,0.4838,0.92909,5.8692,2.4294,1,0
1496,0.72087,1.1994,8.1192,2.2567,0.51048,0.9612200000000001,5.4856,2.4081,1,0
1497,0.71791,1.1968,8.1376,2.2599,0.5653,1.0124,5.6386,2.4034,1,0
1498,0.71991,1.1966,8.1908,2.261,0.59641,1.0241,6.6691,2.364,1,0
1499,0.72013,1.1961,8.2812,2.2614,0.5523,0.98011,8.3611,2.3806,1,0
1500,0.71726,1.1944,8.3692,2.2603,0.5070100000000001,0.95219,10.218,2.3893,1,0
1501,0.70587,1.1789,8.4466,2.2594,0.46878000000000003,0.9202899999999999,11.783,2.3473,1,0
1502,0.69194,1.157,8.5053,2.259,0.45166000000000006,0.88475,12.79,2.3048,1,0
1503,0.6861,1.1507,8.568,2.2578,0.41615,0.84331,13.413,2.2564,1,0
1504,0.68247,1.1469,8.6221,2.2577,0.37923,0.82436,13.458,2.2237,1,0
1505,0.65057,1.1124,8.6224,2.253,0.51289,0.98587,11.347000000000001,2.1328,1,0
1506,0.64676,1.1052,8.6251,2.2507,0.5866,1.082,10.394,2.0863,1,0
1507,0.64975,1.1052,8.7295,2.248,0.66662,1.1592,10.118,2.1319999999999997,1,0
1508,0.65056,1.1054,8.7691,2.2448,0.66857,1.1252,9.4329,2.1175,1,0
1509,0.64554,1.0979999999999999,8.8299,2.2429,0.64584,1.0536,9.5609,2.0695,1,0
1510,0.6380899999999999,1.0897,8.8828,2.2455,0.59209,1.0006,10.329,2.1481,1,0
1511,0.63754,1.0897,8.9453,2.2512,0.5543600000000001,0.95816,11.349,2.2793,1,0
1512,0.6363800000000001,1.0876,8.9762,2.254,0.50763,0.90199,11.347000000000001,2.332,1,0
1513,0.63564,1.0873,8.9457,2.2519,0.50705,0.91805,11.124,2.2691,1,0
